character,G_x,G_y,M,Euclid
号,256,221,46349,29.614185789921695
合,246,265,45668,15.524174696260024
拷,254,244,57857,7.211102550927978
剛,246,241,63321,9.848857801796104
傲,250,253,62683,3.0
豪,244,250,61000,6.0
克,253,248,50437,3.605551275463989
告,243,257,51232,9.899494936611665
谷,245,261,46086,12.083045973594572
刻,259,250,52510,9.0
国,251,244,63238,6.082762530298219
黒,250,235,59981,15.0
穀,244,250,63034,6.0
酷,242,255,67009,9.433981132056603
獄,245,249,60228,5.0990195135927845
骨,252,238,55904,12.165525060596439
駒,249,245,59540,5.0990195135927845
込,247,270,42083,20.223748416156685
頃,253,238,56436,12.36931687685298
今,256,231,36456,19.924858845171276
困,250,244,63437,6.0
昆,243,250,55100,7.0
恨,257,244,57154,9.219544457292887
根,254,245,61495,6.4031242374328485
婚,248,252,65810,2.8284271247461903
混,258,253,55777,8.54400374531753
痕,248,259,58961,9.219544457292887
紺,244,253,60263,6.708203932499369
魂,263,253,60782,13.341664064126334
墾,251,253,69619,3.1622776601683795
懇,251,242,64612,8.06225774829855
左,248,273,43271,23.08679276123039
佐,244,263,50590,14.317821063276353
沙,251,255,36982,5.0990195135927845
査,250,263,57940,13.0
砂,233,244,48665,18.027756377319946
唆,242,254,59003,8.94427190999916
差,251,261,55582,11.045361017187261
詐,234,245,52441,16.76305461424021
鎖,251,255,63849,5.0990195135927845
座,250,261,59422,11.0
挫,246,259,56970,9.848857801796104
才,245,239,34672,12.083045973594572
再,251,231,53519,19.026297590440446
災,245,256,40061,7.810249675906654
妻,249,253,62717,3.1622776601683795
采,248,253,47915,3.605551275463989
砕,237,239,53144,17.029386365926403
宰,249,233,50770,17.029386365926403
栽,248,259,60162,9.219544457292887
彩,235,249,47641,15.033296378372908
採,247,250,55591,3.0
済,256,247,50378,6.708203932499369
祭,247,243,60220,7.615773105863909
斎,246,249,59639,4.123105625617661
細,262,254,66490,12.649110640673518
菜,246,246,55028,5.656854249492381
最,247,248,62578,3.605551275463989
裁,250,253,63212,3.0
債,256,253,61531,6.708203932499369
催,252,257,62040,7.280109889280518
塞,251,265,66186,15.033296378372908
歳,252,257,64525,7.280109889280518
載,241,252,67580,9.219544457292887
際,235,240,65343,18.027756377319946
埼,262,245,52171,13.0
在,249,263,47381,13.038404810405298
材,248,243,48157,7.280109889280518
剤,259,244,57047,10.816653826391969
財,240,244,55191,11.661903789690601
罪,247,228,59237,22.20360331117452
崎,248,243,58039,7.280109889280518
作,244,239,44498,12.529964086141668
削,252,250,55055,2.0
昨,226,237,49640,27.294688127912362
柵,257,242,66629,10.63014581273465
索,246,249,54817,4.123105625617661
策,247,247,58951,4.242640687119285
酢,226,243,59217,25.0
搾,252,237,56935,13.152946437965905
錯,255,257,67244,8.602325267042627
咲,240,246,50906,10.770329614269007
冊,251,236,58674,14.035668847618199
札,225,260,42412,26.92582403567252
刷,255,247,60336,5.830951894845301
刹,258,247,50106,8.54400374531753
拶,245,243,51458,8.602325267042627
殺,250,251,58092,1.0
察,246,246,63226,5.656854249492381
撮,254,250,67776,4.0
擦,248,244,64141,6.324555320336759
雑,256,252,64909,6.324555320336759
皿,247,256,53706,6.708203932499369
三,248,255,28610,5.385164807134504
山,246,285,37906,35.22782990761707
参,242,245,56500,9.433981132056603
桟,258,252,60144,8.246211251235321
蚕,251,242,63304,8.06225774829855
惨,251,244,57664,6.082762530298219
産,249,259,59312,9.055385138137417
傘,248,254,54497,4.47213595499958
散,234,251,63814,16.0312195418814
算,246,243,59469,8.06225774829855
酸,243,253,68197,7.615773105863909
賛,251,241,66383,9.055385138137417
残,252,247,62341,3.605551275463989
斬,235,246,61580,15.524174696260024
暫,241,246,65045,9.848857801796104
士,248,276,32397,26.076809620810597
子,249,215,34117,35.014282800023196
支,249,261,44188,11.045361017187261
止,236,298,34750,50.0
氏,245,251,46322,5.0990195135927845
仕,245,263,42022,13.92838827718412
史,244,259,47362,10.816653826391969
司,265,223,49383,30.886890422961002
四,248,239,52235,11.180339887498949
市,250,235,44288,15.0
矢,238,256,43025,13.416407864998739
旨,234,256,50711,17.08800749063506
死,243,230,50891,21.18962010041709
糸,242,265,41796,17.0
至,248,246,48987,4.47213595499958
伺,268,244,52652,18.973665961010276
志,245,262,44506,13.0
私,230,262,46929,23.323807579381203
使,252,251,58454,2.23606797749979
刺,256,243,55667,9.219544457292887
始,241,263,57982,15.811388300841896
姉,245,252,55855,5.385164807134504
枝,246,253,53865,5.0
祉,241,269,50626,21.02379604162864
肢,238,254,58822,12.649110640673518
姿,248,257,56898,7.280109889280518
思,248,238,53728,12.165525060596439
指,251,258,56267,8.06225774829855
施,249,258,61985,8.06225774829855
師,238,247,62289,12.36931687685298
恣,253,257,48858,7.615773105863909
紙,239,260,58952,14.866068747318506
脂,243,254,62359,8.06225774829855
視,259,242,61303,12.041594578792296
紫,246,250,56185,4.0
詞,257,239,56667,13.038404810405298
歯,250,261,61799,11.0
嗣,246,240,67282,10.770329614269007
試,240,256,55446,11.661903789690601
詩,243,248,55959,7.280109889280518
資,252,250,58710,2.0
飼,256,250,61744,6.0
誌,234,260,55291,18.867962264113206
雌,256,259,68388,10.816653826391969
摯,238,239,63196,16.278820596099706
賜,254,237,67576,13.601470508735444
諮,245,256,61466,7.810249675906654
示,250,233,42012,17.0
字,250,226,43132,24.0
寺,256,241,42957,10.816653826391969
